inct_folder,formacao_mais_alta,qtd,nome_inct,area
41,Ecologia_Evolução_e,Pós-Doutorado,71,"INCT Ecologia, Evolução e Conservação da Biodiversidade",Ciências Biológicas
42,Envelhecimento_e_Doenças,Doutorado,17,INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Ciências Biológicas
43,Envelhecimento_e_Doenças,Graduação,1,INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Ciências Biológicas
44,Envelhecimento_e_Doenças,Livre-Docência,15,INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Ciências Biológicas
45,Envelhecimento_e_Doenças,Pós-Doutorado,11,INCT Envelhecimento e Doenças Genéticas: Genômica e Metagenômica,Ciências Biológicas
46,Estações_Sustentáveis_de,Doutorado,34,INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),"Engenharias, Energias e Tecnologias da Informação"
47,Estações_Sustentáveis_de,Especialização,1,INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),"Engenharias, Energias e Tecnologias da Informação"
48,Estações_Sustentáveis_de,Graduação,8,INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),"Engenharias, Energias e Tecnologias da Informação"
49,Estações_Sustentáveis_de,Livre-Docência,1,INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),"Engenharias, Energias e Tecnologias da Informação"
50,Estações_Sustentáveis_de,Mestrado,10,INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),"Engenharias, Energias e Tecnologias da Informação"
51,Estações_Sustentáveis_de,Pós-Doutorado,31,INCT Estações Sustentáveis de Tratamento de Esgoto  (INCT-ETEs sustentáveis),"Engenharias, Energias e Tecnologias da Informação"
52,Física_Nuclear_e,Doutorado,127,INCT Física Nuclear e Aplicações,Ciências Exatas e da Terra
53,Física_Nuclear_e,Graduação,32,INCT Física Nuclear e Aplicações,Ciências Exatas e da Terra
54,Física_Nuclear_e,Livre-Docência,35,INCT Física Nuclear e Aplicações,Ciências Exatas e da Terra
55,Física_Nuclear_e,Mestrado,52,INCT Física Nuclear e Aplicações,Ciências Exatas e da Terra
56,Física_Nuclear_e,Pós-Doutorado,174,INCT Física Nuclear e Aplicações,Ciências Exatas e da Terra
